CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-06-03 00:00,m^3/s,4.18,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-06-04 00:00,m^3/s,3.44,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-06-05 00:00,m^3/s,2.715,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-06-06 00:00,m^3/s,2.43,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-06-07 00:00,m^3/s,2.52,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-06-08 00:00,m^3/s,2.61,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-06-09 00:00,m^3/s,5.04,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-06-10 00:00,m^3/s,3.92,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-06-11 00:00,m^3/s,3.66999999999875,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-06-12 00:00,m^3/s,3.94,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-06-13 00:00,m^3/s,2.7,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-06-14 00:00,m^3/s,2.7,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-06-15 00:00,m^3/s,2.7,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-06-16 00:00,m^3/s,2.7,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-06-17 00:00,m^3/s,2.61,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-06-18 00:00,m^3/s,3.15499999999581,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-06-19 00:00,m^3/s,4.06,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-06-20 00:00,m^3/s,2.475,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-06-21 00:00,m^3/s,2.74999999999977,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-06-22 00:00,m^3/s,2.8,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-06-23 00:00,m^3/s,6.3,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-06-24 00:00,m^3/s,4.55,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-06-25 00:00,m^3/s,4.42,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-06-26 00:00,m^3/s,4.66,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-06-27 00:00,m^3/s,3.1,Preliminar
